"frequency";"partialQEP"
"1";"Aggregate [max(_id#2692) AS max(_id)#405969]
+- Project [_id#2692]
   +- LogicalRDD [_id#2692, title#2693, intent#2694, container#2695, screen#2696, cellX#2697, cellY#2698, spanX#2699, spanY#2700, itemType#2701, appWidgetId#2702, isShortcut#2703, iconType#2704, iconPackage#2705, iconResource#2706, icon#2707, uri#2708, displayMode#2709, appWidgetProvider#2710, modified#2711], false
"
"1";"Sort [systemLabel#11307 DESC NULLS LAST, sortOrder#1110681 ASC NULLS FIRST], true
+- Project [_id#11301, canonicalName#11302, CASE WHEN (canonicalName#11302 = ^f) THEN 0 WHEN (canonicalName#11302 = ^^out) THEN 0 WHEN (canonicalName#11302 = ^i) THEN 0 WHEN (canonicalName#11302 = ^r) THEN 0 WHEN (canonicalName#11302 = ^b) THEN 0 WHEN (canonicalName#11302 = ^all) THEN 0 WHEN (canonicalName#11302 = ^u) THEN 0 WHEN (canonicalName#11302 = ^k) THEN 0 WHEN (canonicalName#11302 = ^s) THEN 0 WHEN (canonicalName#11302 = ^t) THEN 0 WHEN (canonicalName#11302 = ^g) THEN 0 WHEN (canonicalName#11302 = ^io_im) THEN 0 WHEN (canonicalName#11302 = ^iim) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_personal) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_social) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_promo) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_notification) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_group) THEN 0 ELSE name#11303 END AS name#1110680, numConversations#11304, numUnreadConversations#11305, numUnseenConversations#11314, color#11306, systemLabel#11307, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, lastTouched#11313, lastMessageTimestamp#11315, CASE WHEN (cast(systemLabel#11307 as int) = 0) THEN canonicalName#11302 ELSE systemLabelOrder#11308 END AS sortOrder#1110681]
   +- Filter (((isnotnull(canonicalName#11302) && isnotnull(hidden#11309)) && (canonicalName#11302 = 0)) && (cast(hidden#11309 as int) = 0))
      +- LogicalRDD [_id#11301, canonicalName#11302, name#11303, numConversations#11304, numUnreadConversations#11305, color#11306, systemLabel#11307, systemLabelOrder#11308, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, visibility#11312, lastTouched#11313, numUnseenConversations#11314, lastMessageTimestamp#11315], false
"
"1";"Project [_id#11301, canonicalName#11302, CASE WHEN (canonicalName#11302 = ^f) THEN 0 WHEN (canonicalName#11302 = ^^out) THEN 0 WHEN (canonicalName#11302 = ^i) THEN 0 WHEN (canonicalName#11302 = ^r) THEN 0 WHEN (canonicalName#11302 = ^b) THEN 0 WHEN (canonicalName#11302 = ^all) THEN 0 WHEN (canonicalName#11302 = ^u) THEN 0 WHEN (canonicalName#11302 = ^k) THEN 0 WHEN (canonicalName#11302 = ^s) THEN 0 WHEN (canonicalName#11302 = ^t) THEN 0 WHEN (canonicalName#11302 = ^g) THEN 0 WHEN (canonicalName#11302 = ^io_im) THEN 0 WHEN (canonicalName#11302 = ^iim) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_personal) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_social) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_promo) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_notification) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_group) THEN 0 ELSE name#11303 END AS name#890779, numConversations#11304, numUnreadConversations#11305, numUnseenConversations#11314, color#11306, systemLabel#11307, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, lastTouched#11313, lastMessageTimestamp#11315, CASE WHEN (cast(systemLabel#11307 as int) = 0) THEN canonicalName#11302 ELSE systemLabelOrder#11308 END AS sortOrder#890780]
+- Filter ((isnotnull(hidden#11309) && (NOT (canonicalName#11302 = ) || NOT (name#11303 = ))) && (cast(hidden#11309 as int) = 0))
   +- LogicalRDD [_id#11301, canonicalName#11302, name#11303, numConversations#11304, numUnreadConversations#11305, color#11306, systemLabel#11307, systemLabelOrder#11308, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, visibility#11312, lastTouched#11313, numUnseenConversations#11314, lastMessageTimestamp#11315], false
"
"1";"Filter (isnotnull(originalProductId#40737) && (originalProductId#40737 = 31611))
+- LogicalRDD [appVersionName#40718, lasUpdateDate#40719, productNo#40720, pkgName#40721, installStartTime#40722, productTypeCode#40723, appVersionCode#40724, appDeveloperName#40725, purchasedPrice#40726, fileSize#40727, isPurchasedApp#40728, _id#40729, pkgStatus#40730, isNaverApp#40731, verNm#40732, insverCode#40733, thumbUrl#40734, downloadId#40735, categoryAppListUrl#40736, originalProductId#40737, appType#40738, installStatus#40739, otherPkgName#40740, serviceStatusCode#40741, ... 6 more fields], false
"
"1";"Project [_id#11301, canonicalName#11302, CASE WHEN (canonicalName#11302 = ^f) THEN 0 WHEN (canonicalName#11302 = ^^out) THEN 0 WHEN (canonicalName#11302 = ^i) THEN 0 WHEN (canonicalName#11302 = ^r) THEN 0 WHEN (canonicalName#11302 = ^b) THEN 0 WHEN (canonicalName#11302 = ^all) THEN 0 WHEN (canonicalName#11302 = ^u) THEN 0 WHEN (canonicalName#11302 = ^k) THEN 0 WHEN (canonicalName#11302 = ^s) THEN 0 WHEN (canonicalName#11302 = ^t) THEN 0 WHEN (canonicalName#11302 = ^g) THEN 0 WHEN (canonicalName#11302 = ^io_im) THEN 0 WHEN (canonicalName#11302 = ^iim) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_personal) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_social) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_promo) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_notification) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_group) THEN 0 ELSE name#11303 END AS name#1028737, numConversations#11304, numUnreadConversations#11305, numUnseenConversations#11314, color#11306, systemLabel#11307, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, lastTouched#11313, lastMessageTimestamp#11315, CASE WHEN (cast(systemLabel#11307 as int) = 0) THEN canonicalName#11302 ELSE systemLabelOrder#11308 END AS sortOrder#1028738]
+- Filter (((isnotnull(canonicalName#11302) && isnotnull(hidden#11309)) && (canonicalName#11302 = 0)) && (cast(hidden#11309 as int) = 0))
   +- LogicalRDD [_id#11301, canonicalName#11302, name#11303, numConversations#11304, numUnreadConversations#11305, color#11306, systemLabel#11307, systemLabelOrder#11308, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, visibility#11312, lastTouched#11313, numUnseenConversations#11314, lastMessageTimestamp#11315], false
"
"1";"Project [_id#65429, entity#65432, _data#65436, mimetype#65437, visibility#65440, destination#65438, control#65441, status#65442, lastmod#65444, notificationpackage#65445, notificationclass#65446, total_bytes#65451, current_bytes#65452, title#65456, description#65457, uri#65430, is_visible_in_downloads_ui#65462, hint#65434, mediaprovider_uri#65464, deleted#65465, title#65456 AS _display_name#714824, total_bytes#65451 AS _size#714825]
+- Filter ((cast(uid#65454 as int) = 0) || (cast(otheruid#65455 as int) = 0))
   +- LogicalRDD [_id#65429, uri#65430, method#65431, entity#65432, no_integrity#65433, hint#65434, otaupdate#65435, _data#65436, mimetype#65437, destination#65438, no_system#65439, visibility#65440, control#65441, status#65442, numfailed#65443, lastmod#65444, notificationpackage#65445, notificationclass#65446, notificationextras#65447, cookiedata#65448, useragent#65449, referer#65450, total_bytes#65451, current_bytes#65452, ... 16 more fields], false
"
"1";"Project [_id#11301, canonicalName#11302, CASE WHEN (canonicalName#11302 = ^f) THEN 0 WHEN (canonicalName#11302 = ^^out) THEN 0 WHEN (canonicalName#11302 = ^i) THEN 0 WHEN (canonicalName#11302 = ^r) THEN 0 WHEN (canonicalName#11302 = ^b) THEN 0 WHEN (canonicalName#11302 = ^all) THEN 0 WHEN (canonicalName#11302 = ^u) THEN 0 WHEN (canonicalName#11302 = ^k) THEN 0 WHEN (canonicalName#11302 = ^s) THEN 0 WHEN (canonicalName#11302 = ^t) THEN 0 WHEN (canonicalName#11302 = ^g) THEN 0 WHEN (canonicalName#11302 = ^io_im) THEN 0 WHEN (canonicalName#11302 = ^iim) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_personal) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_social) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_promo) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_notification) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_group) THEN 0 ELSE name#11303 END AS name#862351, numConversations#11304, numUnreadConversations#11305, numUnseenConversations#11314, color#11306, systemLabel#11307, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, lastTouched#11313, lastMessageTimestamp#11315, CASE WHEN (cast(systemLabel#11307 as int) = 0) THEN canonicalName#11302 ELSE systemLabelOrder#11308 END AS sortOrder#862352]
+- Filter (((isnotnull(canonicalName#11302) && isnotnull(hidden#11309)) && (canonicalName#11302 = 0)) && (cast(hidden#11309 as int) = 0))
   +- LogicalRDD [_id#11301, canonicalName#11302, name#11303, numConversations#11304, numUnreadConversations#11305, color#11306, systemLabel#11307, systemLabelOrder#11308, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, visibility#11312, lastTouched#11313, numUnseenConversations#11314, lastMessageTimestamp#11315], false
"
"1";"GlobalLimit 10
+- LocalLimit 10
   +- Sort [lastTouched#11313 DESC NULLS LAST], true
      +- Project [_id#11301, canonicalName#11302, CASE WHEN (canonicalName#11302 = ^f) THEN 0 WHEN (canonicalName#11302 = ^^out) THEN 0 WHEN (canonicalName#11302 = ^i) THEN 0 WHEN (canonicalName#11302 = ^r) THEN 0 WHEN (canonicalName#11302 = ^b) THEN 0 WHEN (canonicalName#11302 = ^all) THEN 0 WHEN (canonicalName#11302 = ^u) THEN 0 WHEN (canonicalName#11302 = ^k) THEN 0 WHEN (canonicalName#11302 = ^s) THEN 0 WHEN (canonicalName#11302 = ^t) THEN 0 WHEN (canonicalName#11302 = ^g) THEN 0 WHEN (canonicalName#11302 = ^io_im) THEN 0 WHEN (canonicalName#11302 = ^iim) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_personal) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_social) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_promo) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_notification) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_group) THEN 0 ELSE name#11303 END AS name#198754, numConversations#11304, numUnreadConversations#11305, numUnseenConversations#11314, color#11306, systemLabel#11307, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, lastTouched#11313, lastMessageTimestamp#11315, CASE WHEN (cast(systemLabel#11307 as int) = 0) THEN canonicalName#11302 ELSE systemLabelOrder#11308 END AS sortOrder#198755]
         +- Filter (((((isnotnull(hidden#11309) && isnotnull(lastTouched#11313)) && (NOT (canonicalName#11302 = ) || NOT (name#11303 = ))) && (cast(hidden#11309 as int) = 0)) && NOT (cast(lastTouched#11313 as int) = 0)) && (cast(lastTouched#11313 as int) < 0))
            +- LogicalRDD [_id#11301, canonicalName#11302, name#11303, numConversations#11304, numUnreadConversations#11305, color#11306, systemLabel#11307, systemLabelOrder#11308, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, visibility#11312, lastTouched#11313, numUnseenConversations#11314, lastMessageTimestamp#11315], false
"
"1";"Aggregate [max(_id#17419) AS max(_id)#1121160]
+- Project [_id#17419]
   +- LogicalRDD [_id#17419, url#17420, local#17421, filesize#17422, download_timestamp#17423], false
"
"1";"Sort [systemLabel#11307 DESC NULLS LAST, sortOrder#606793 ASC NULLS FIRST], true
+- Project [_id#11301, canonicalName#11302, CASE WHEN (canonicalName#11302 = ^f) THEN 0 WHEN (canonicalName#11302 = ^^out) THEN 0 WHEN (canonicalName#11302 = ^i) THEN 0 WHEN (canonicalName#11302 = ^r) THEN 0 WHEN (canonicalName#11302 = ^b) THEN 0 WHEN (canonicalName#11302 = ^all) THEN 0 WHEN (canonicalName#11302 = ^u) THEN 0 WHEN (canonicalName#11302 = ^k) THEN 0 WHEN (canonicalName#11302 = ^s) THEN 0 WHEN (canonicalName#11302 = ^t) THEN 0 WHEN (canonicalName#11302 = ^g) THEN 0 WHEN (canonicalName#11302 = ^io_im) THEN 0 WHEN (canonicalName#11302 = ^iim) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_personal) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_social) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_promo) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_notification) THEN 0 WHEN (canonicalName#11302 = ^sq_ig_i_group) THEN 0 ELSE name#11303 END AS name#606792, numConversations#11304, numUnreadConversations#11305, numUnseenConversations#11314, color#11306, systemLabel#11307, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, lastTouched#11313, lastMessageTimestamp#11315, CASE WHEN (cast(systemLabel#11307 as int) = 0) THEN canonicalName#11302 ELSE systemLabelOrder#11308 END AS sortOrder#606793]
   +- Filter (((isnotnull(canonicalName#11302) && isnotnull(hidden#11309)) && (canonicalName#11302 = 0)) && (cast(hidden#11309 as int) = 0))
      +- LogicalRDD [_id#11301, canonicalName#11302, name#11303, numConversations#11304, numUnreadConversations#11305, color#11306, systemLabel#11307, systemLabelOrder#11308, hidden#11309, labelCountDisplayBehavior#11310, labelSyncPolicy#11311, visibility#11312, lastTouched#11313, numUnseenConversations#11314, lastMessageTimestamp#11315], false
"
